CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
RPNUUULYRBUSBJ-UHFFFAOYSA-N	6K0	n-{4-[4-amino-7-(propan-2-yl)-7h-pyrrolo[2,3-d]pyrimidine-5-carbonyl]pyridin-2-yl}-n'-(2,4-difluorophenyl)urea
KVAUYQFSODRWMC-UHFFFAOYSA-N	6K1	n-{5-[4-amino-7-(propan-2-yl)-7h-pyrrolo[2,3-d]pyrimidine-5-carbonyl]pyridin-3-yl}-2-(4-chlorophenyl)acetamide
ZJYCGJNMKTVBQP-UHFFFAOYSA-N	6K2	2-(4-cyanophenyl)-n-{5-[7-(propan-2-yl)-7h-pyrrolo[2,3-d]pyrimidine-5-carbonyl]pyridin-3-yl}acetamide
BPIWZDNVMQQBQX-UHFFFAOYSA-N	6K4	n-{5-[2-amino-7-(1-hydroxy-2-methylpropan-2-yl)-7h-pyrrolo[2,3-d]pyrimidine-5-carbonyl]pyridin-3-yl}-2-(5-chloropyridin-2-yl)acetamide
LKZNXFAHMCIKNB-UHFFFAOYSA-N	6K5	[1-{4-[6-amino-4-(trifluoromethyl)pyridin-3-yl]-6-(morpholin-4-yl)-1,3,5-triazin-2-yl}-3-(chloromethyl)azetidin-3-yl]methanol
WDFCXEWULSQTFC-SDBHATRESA-N	6K6	n-(furan-2-ylmethyl)adenosine 5'-(dihydrogen phosphate)
JQPAIKDXQCXSKJ-UHFFFAOYSA-N	6K7	[1-{4-[6-amino-4-(trifluoromethyl)pyridin-3-yl]-6-(morpholin-4-yl)pyrimidin-2-yl}-3-(chloromethyl)azetidin-3-yl]methanol
UFNVPOGXISZXJD-JBQZKEIOSA-N	6K9	(1s,3s,6s,9s,12s,14r,16r,18s,20r,21r,22s,26r,29s,31r,32s,33r,35r,36s)-20-[(2s)-3-amino-2-hydroxypropyl]-21-methoxy-14-methyl-8,15-dimethylidene-2,19,30,34,37,39,40,41-octaoxanonacyclo[24.9.2.1~3,32~.1~3,33~.1~6,9~.1~12,16~.0~18,22~.0~29,36~.0~31,35~]hentetracontan-24-one (non-preferred name)
NXJALABMYVGINA-LBPRGKRZSA-N	6KA	n-{1-[(2-chloro-6-fluorophenyl)methyl]-1h-pyrazol-3-yl}-5-[(1s)-1-(3-methyl-1h-pyrazol-1-yl)ethyl]-1,3,4-thiadiazol-2-amine
NTVANGFJFQEJLS-LKAJGUBRSA-N	6KB	4-{[(2r,3r,4s,5r)-5-({[(r)-{[(r)-{[(2r,3r,4r,5r)-5-(6-amino-9h-purin-9-yl)-3-hydroxy-4-(phosphonooxy)tetrahydrofuran-2-yl]methoxy}(hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]oxy}methyl)-3,4-dihydroxytetrahydrofuran-2-yl]oxy}butanoic acid (non-preferred name)
USMAPSJMQVFIAW-UHFFFAOYSA-N	6KC	n-[5-(4-methylpiperazine-1-carbonyl)[1,1'-biphenyl]-2-yl]-4-oxo-3,4-dihydrothieno[3,2-d]pyrimidine-7-carboxamide
MJJJFOLDERHCND-UHFFFAOYSA-N	6KD	n-(2-isopropoxy-3-(4-methylpiperazine-1-carbonyl)phenyl)-4-oxo-3,4-dihydrothieno[3,2-d]pyrimidine-7-carboxamide
JDIGFAGHWNBGPU-NSHDSACASA-N	6KE	(2s)-2-{[4-(4-chlorophenyl)-5-cyano-6-oxo-1,6-dihydropyrimidin-2-yl]sulfanyl}-n-(4-sulfamoylphenyl)propanamide
CZFKLVIECPDWLQ-SQQYMZSVSA-N	6KF	(2s)-2-azido-n-[(2s)-3-(biphenyl-4-yl)-1-{[(2s)-1-{[(2s,3s,4r)-3,5-dihydroxy-4-methylpentan-2-yl]amino}-1-oxo-3-phenylpropan-2-yl]amino}-1-oxopropan-2-yl]-3-phenylpropanamide (non-preferred name)
OENPGYKZUFVMPA-DZPCQTFRSA-N	6KG	nalpha-[(2s)-2-{[(2s)-2-azido-3-phenylpropanoyl]amino}-4-cyclohexylbutanoyl]-n-[(2r,3s,4s)-1,3-dihydroxy-2,6-dimethylheptan-4-yl]-l-phenylalaninamide
TUOBZAXIKVQKKU-PQHBYJLHSA-N	6KJ	(5e)-5-[(n-tert-butoxycarbamimidoyl)imino]-l-norvaline
ZMOFGDZIKIFMEU-JTPLMOPKSA-N	6KK	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl {(2s,3r)-3-hydroxy-4-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}-1-[(3r,5r,7r)-tricyclo[3.3.1.1~3,7~]decan-1-yl]butan-2-yl}carbamate
YEXCUFMMPWRNRI-KXEMTNKZSA-N	6KL	methyl 4,5-bis(acetylamino)-3,4,5-trideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid
PFQQQKYLKYCDDY-BYPYZUCNSA-N	6KM	s-propanoyl-l-cysteine
SERKGWYXQDCJCM-UHFFFAOYSA-N	6KN	4-(3-methylpyridin-4-yl)-6-(trifluoromethyl)-1h-indazole
QRTGQCHFTKWKOO-CYBMUJFWSA-N	6KO	[(2r)-1-([1,2,4]triazolo[1,5-a]pyrimidin-7-yl)pyrrolidin-2-yl]methyl 2-methoxybenzoate
BGVWCIRYUNODHW-UHFFFAOYSA-N	6KP	7-fluoro-4-(5-methyl-3h-imidazo[4,5-b]pyridin-6-yl)-2,4-dihydropyrazolo[4,3-b]indole
VFCWWTCOEZADQB-VTBYYCNJSA-N	6KQ	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl {(2s,3r)-4-{benzyl[(4-methoxyphenyl)sulfonyl]amino}-3-hydroxy-1-[(3r,5r,7r)-tricyclo[3.3.1.1~3,7~]decan-1-yl]butan-2-yl}carbamate
HFTRJIHLZBXXJY-GCYYGDMXSA-N	6KR	(3r,3as,7ar)-hexahydro-4h-furo[2,3-b]pyran-3-yl {(2s,3r)-3-hydroxy-4-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}-1-[(3r,5r,7r)-tricyclo[3.3.1.1~3,7~]decan-1-yl]butan-2-yl}carbamate
HPRLVAQRFQEQPF-UHFFFAOYSA-N	6KT	2-amino-1,3-benzothiazole-6-carboxamide
JVWILFYYJUGFPA-UHFFFAOYSA-N	6KV	3-[methyl-[2-[methyl-(1-methylpiperidin-4-yl)amino]thieno[3,2-d]pyrimidin-4-yl]amino]propanenitrile
MOQGCGNUWBPGTQ-UHFFFAOYSA-N	6KX	beta-cyclocitral
HLLONANTKRYYCG-LURJTMIESA-N	6KY	(2s)-2-(dimethylamino)-4-(methylselanyl)butanoic acid
SEDXNAIXMHPLCI-GBESFXJTSA-N	6KZ	n-[(2s)-4-methyl-1-oxidanylidene-1-[[(1r,2s)-1-oxidanyl-1-(5-phenyl-1,2,4-oxadiazol-3-yl)butan-2-yl]amino]pentan-2-yl]morpholine-4-carboxamide
SHTNNSLDUIEFSM-LREOWRDNSA-N	6L0	(8e)-6,17,28-trihydroxy-1,6,12,17,23,28-hexaazacyclotritriacont-8-ene-2,5,13,16,24,27-hexone
LUQUWKZWZFRYGL-LTOLZBHSSA-N	6L1	5'-o-[(r)-{[(3s)-3-aminobutanoyl]oxy}(hydroxy)phosphoryl]adenosine
COCQFOUTOAHOEQ-NVXWUHKLSA-N	6L2	5-[5-(3-hydroxyprop-1-yn-1-yl)thiophen-2-yl]-2,4-dimethoxy-n-{[(1r,3r)-3-methoxycyclohexyl]sulfonyl}benzamide
PXLABDTXHJPRRH-UHFFFAOYSA-N	6L3	methyl 2,4,6-trimethylbenzoate
QXQGHCJUTRTRLJ-UHFFFAOYSA-N	6L4	~{n}-[2-[5-chloranyl-2-[(1-methylpyrazol-4-yl)amino]pyrimidin-4-yl]oxyphenyl]prop-2-enamide
WWJTVYJOLVMSCT-BRLJYLSVSA-N	6L5	(3r)-4-amino-3-{[6-({[(2s,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]carbonyl}amino)hexanoyl]amino}-4-oxobutanoic acid (non-preferred name)
MOMLKGNSDNGKFJ-TWGQIWQCSA-N	6L6	methyl (2z)-3-hydroxy-3-(3-hydroxyphenyl)prop-2-ene(dithioate)
WXDIWOPYNCJTLO-ZDUSSCGKSA-N	6L8	(2r)-3-{3-[3,5-bis(trifluoromethyl)phenyl]-1h-1,2,4-triazol-1-yl}-2-(pyrimidin-5-yl)propanamide
HVCNXQOWACZAFN-UHFFFAOYSA-N	6LB	4-ethylmorpholine
DOBNVUFHFMVMDB-BEFAXECRSA-N	6LD	sacubitrilat
QPHAZZJNYDEVHL-MRVPVSSYSA-N	6LE	(1s)-2-amino-1-(4-chlorophenyl)ethan-1-ol
GKJCVYLDJWTWQU-CXLRFSCWSA-N	6LF	2-[4-[e-2-[5-[(1r)-1-[3,5-bis(chloranyl)pyridin-4-yl]ethoxy]-1h-indazol-3-yl]ethenyl]pyrazol-1-yl]ethanol
NWGZZGNICQFUHV-OAHLLOKOSA-N	6LG	(1r)-1-{3-[3-(dimethylcarbamoyl)phenoxy]-4-nitrophenyl}ethyl bis[(aziridin-1-yl)]phosphinate
TYMRLRRVMHJFTF-UHFFFAOYSA-N	6LH	4-(aminomethyl)benzene-1-sulfonamide
QWFXGVANFMDSMH-LSCFUAHRSA-O	6LI	7-[2-(4-chlorophenoxy)ethyl]guanosine 5'-(dihydrogen phosphate)
PBIFICWHSUFSCR-UHFFFAOYSA-N	6LJ	2-(4-{[3-(piperidin-1-yl)propyl]amino}quinolin-2-yl)benzonitrile
SOMKDSWCLVBQLT-UHFFFAOYSA-N	6LK	1-(5-chloro-6-methoxypyridin-3-yl)-3-methyl-n-(methylsulfonyl)-1h-indazole-5-carboxamide
VGYKEVLINQLXTN-UHFFFAOYSA-N	6LL	tetrakis-(mu-oxo)-deca-oxo-trimolybdenum
GUHARHDZDIMRCB-UXXKCKHWSA-N	6LM	(3s,4e)-5-[(1r,5r,8s)-8-hydroxy-1,5-dimethyl-3-oxo-6-oxabicyclo[3.2.1]octan-8-yl]-3-methylpent-4-enoic acid
VYMPLPIFKRHAAC-UHFFFAOYSA-N	6LN	ethane-1,2-dithiol
BUCAFRXFNHCHRU-UHFFFAOYSA-N	6LO	n-[(3-{4-amino-5-[3-(benzyloxy)phenyl]-7h-pyrrolo[2,3-d]pyrimidin-7-yl}cyclobutyl)methyl]acetamide
OGZKVNUWPYUXNL-UHFFFAOYSA-N	6LP	n~1~-(4-{2-[(3-chlorophenyl)amino]pyrimidin-4-yl}pyridin-2-yl)ethane-1,2-diamine
CWMNDXXSBKRROR-UHFFFAOYSA-N	6LQ	2-amino-5-{4-[(4-methylpiperazin-1-yl)sulfonyl]phenyl}-n-[4-(pyrrolidin-1-ylmethyl)pyridin-3-yl]pyridine-3-carboxamide
YNAVUWVOSKDBBP-UHFFFAOYSA-N	6LR	morpholine
ANNKHJQLDMGQFM-UIOOFZCWSA-N	6LT	3-(difluoromethyl)-n-{6-[(5s,6s)-6-hydroxy-6,7,8,9-tetrahydro-5h-imidazo[1,5-a]azepin-5-yl][1,1'-biphenyl]-3-yl}-1-(propan-2-yl)-1h-pyrazole-5-carboxamide
SPEYBQKWONGMOH-UHFFFAOYSA-N	6LU	4-{[(3,5-dimethylphenyl)carbamoyl]amino}benzene-1-sulfonamide
OOUWYRBLMZEUGI-UHFFFAOYSA-N	6LV	5-(3,5-dimethoxybenzyl)[1,2,4]triazolo[1,5-c]quinazolin-2-amine
AVHYWFZJLLOYOD-XXXIWBGBSA-N	6LW	(2~{z},3~{r},4~{r},5~{s})-2-hydroxyimino-5-(hydroxymethyl)oxolane-3,4-diol
PGXYIBJJCLWJST-MUUNZHRXSA-N	6LX	n-(3-aminopropyl)-n-[(1r)-1-(3-benzyl-7-chloro-4-oxo-4h-chromen-2-yl)-2-methylpropyl]-4-methylbenzamide
RETMUAMXYIIWAQ-MRVPVSSYSA-N	6LY	(1s)-2-amino-1-(4-bromophenyl)ethan-1-ol
HLYXSMQJWZMANE-UHFFFAOYSA-N	6LZ	2-amino-1-(4-fluorophenyl)ethan-1-one
DEGKPRAGDPFTOO-UHFFFAOYSA-A	6M0	mo(6)-o(26) cluster
XHYVBIXKORFHFM-UHFFFAOYSA-N	6M1	2-amino-6-methylbenzoic acid
FKEZMHCTDJKGQH-SFTDATJTSA-N	6M3	2'-chloro-6-[(5s,6s)-6-hydroxy-6,7,8,9-tetrahydro-5h-imidazo[1,5-a]azepin-5-yl][1,1'-biphenyl]-3-carbonitrile
ROYLRIQYTZJBAR-UHFFFAOYSA-N	6M4	1,1-dihydroxy-1,3-dihydro-2,1-benzoxaborol-1-ium
FWNOABWJBHBVKJ-JTQLQIEISA-N	6M6	s-[(2-phenylethyl)carbamothioyl]-l-cysteine
TTZAIJYOUAIUID-UHFFFAOYSA-N	6M8	7-[[3-[2-(dimethylamino)ethyl]phenoxy]methyl]quinolin-2-amine
XOQABDOICLHPIS-UHFFFAOYSA-N	6M9	2,1-benzoxaborol-1(3h)-ol
MGKYNCZAQIZDCV-XLPZGREQSA-N	6MA	n6-methyl-deoxy-adenosine-5'-monophosphate
JJZFSJXETRBCPR-UHFFFAOYSA-N	6MB	4-{[(2-amino-4-oxo-3,4-dihydropteridin-6-yl)methyl]amino}-n-(3,4-dimethyl-1,2-oxazol-5-yl)benzene-1-sulfonamide
MGKYNCZAQIZDCV-XLPZGREQSA-N	6MC	cis-n6-methyl-deoxy-adenosine-5'-monophosphate
VQAYFKKCNSOZKM-IOSLPCCCSA-N	6MD	n-methyladenosine
NQHPYDRZSXDOSD-YFKPBYRVSA-N	6ME	(6s)-6-methyl-5,6,7,8-tetrahydroquinazoline-2,4-diamine
XXIXMIAOXNBYOY-MJGOQNOKSA-N	6MG	n~2~-[(r)-({[(benzyloxy)carbonyl]amino}methyl)(hydroxy)phosphoryl]-n-[(2s)-2,3,3-trimethylbutyl]-l-leucinamide
KVLOEFKBTCCASR-UHFFFAOYSA-N	6MH	1-hydroxy-6-methylpyridine-2(1h)-thione
ZHNPRYPLFLWMLI-JXBXZBNISA-N	6MI	6-methyl-8-(2-deoxy-ribofuranosyl)isoxanthopteridine
OYQFTVWCICJGMS-VOTSOKGWSA-N	6MK	(2e)-4-[n'-(4-benzyl-pyridine-3-carbonyl)-hydrazino]-4-oxo-but-2-enoic acid
DCVJTSMMUVGUAG-UHFFFAOYSA-M	6ML	oxygen-damaged sf4
XHMJOUIAFHJHBW-RXRWUWDJSA-N	6MN	2-amino-2-deoxy-6-o-phosphono-alpha-d-mannopyranose
HCNGUXXTNNIKCQ-UHFFFAOYSA-N	6MO	molybdenum(vi) ion
SYMHUEFSSMBHJA-UHFFFAOYSA-N	6MP	6-methylpurine
BLBDKMAMVNXYIE-JOCHJYFZSA-N	6MR	n-[(4'-iodobiphenyl-4-yl)sulfonyl]-d-tryptophan
CULYTKHWSUTBGY-UHFFFAOYSA-N	6MS	[6-(2-amino-6-oxo-1,6-dihydro-9h-purin-9-yl)hexyl]phosphonic acid
MGKYNCZAQIZDCV-KRXJAMNADT	6MT	trans-n6-methyl-deoxy-adenosine-5'-monophosphate
SHVCSCWHWMSGTE-UHFFFAOYSA-N	6MU	6-methylpyrimidine-2,4-diol
WYDRUGJOWSJDHU-UHFFFAOYSA-N	6MV	4-[2-fluoro-3-(4-oxoquinazolin-3(4h)-yl)phenyl]-7-(2-hydroxypropan-2-yl)-9h-carbazole-1-carboxamide
IYYUJCKJSSPXQQ-SFYZADRCSA-N	6MW	(2s,4s)-2-(pyridin-4-yl)-1,3-thiazolidine-4-carboxylic acid
IYMNIQIFFGLPGI-MYDIHDSKSA-N	6MX	2-[(3~{r})-1-[6-cyclohexylsulfanyl-5-[[(1~{r},3~{s})-5-oxidanyl-2-adamantyl]carbamoyl]pyridin-2-yl]pyrrolidin-3-yl]ethanoic acid
QJGQTBOHSOZKLJ-RKQHYHRCSA-N	6MY	(1s)-1,5-anhydro-1-(5-phenyl-1h-imidazol-2-yl)-d-glucitol
WETVNPRPZIYMAC-IOSLPCCCSA-N	6MZ	n6-methyladenosine-5'-monophosphate
CHISZLOVTPVOGH-UHFFFAOYSA-N	6N0	n-(5,5-dioxodibenzothiophen-2-yl)-4,4-difluoro-piperidine-1-carboxamide
IXFGEDLOELTAGL-XVRJTNSXSA-N	6N3	(1~{r},5~{s})-3-[6-(3-methylbutoxy)-5-[[(1~{r},3~{s})-5-oxidanyl-2-adamantyl]carbamoyl]pyridin-2-yl]-3-azabicyclo[3.1.0]hexane-6-carboxylic acid
HFDPECWVRWDXHN-UHFFFAOYSA-N	6N4	2-(1h-benzimidazol-2-ylsulfanyl)ethanol
RLIQDSPMEVUJOV-CFPFVMHBSA-N	6N5	~{n}-[(2~{s})-1-[[(2~{s})-3-(4-methoxyphenyl)-1-[[(2~{s},3~{s},4~{r})-4-methyl-3,5-bis(oxidanyl)-1-phenyl-pentan-2-yl]amino]-1-oxidanylidene-propan-2-yl]amino]-1-oxidanylidene-propan-2-yl]-1-methyl-5~{h}-indene-2-carboxamide
DADKTCVAPDOGJQ-UHFFFAOYSA-N	6N6	5-(2-thienyl)-1,3,4-thiadiazol-2-amine
HEHFNRQOOMVVBY-UHFFFAOYSA-N	6N8	n-(3,3-diphenylpropyl)pyrrolidine-1-carboxamide
XAALTFVMAMULHB-UHFFFAOYSA-N	6N9	(3-{[dihydroxy(propyl)-lambda~4~-sulfanyl]amino}-2,6-difluorophenyl)[5-(4-methoxyphenyl)-1h-pyrrolo[2,3-b]pyridin-3-yl]methanone
FUZZWVXGSFPDMH-UHFFFAOYSA-N	6NA	hexanoic acid
VESCTIQVMMXAQY-UHFFFAOYSA-N	6NB	n,n'-{ethane-1,2-diylbis[oxyethane-2,1-diyloxy-4,1-phenylene-1h-pyrrolo[2,3-b]pyridine-5,3-diylcarbonyl(2,4-difluoro-3,1-phenylene)]}di(propane-1-sulfonamide)
UHHAOCYUOAXVKX-UHFFFAOYSA-N	6NC	2,2'-oxybis[n-({4-[3-(3-{[dihydroxy(propyl)-lambda~4~-sulfanyl]amino}-2,6-difluorobenzene-1-carbonyl)-1h-pyrrolo[2,3-b]pyridin-5-yl]phenyl}methyl)acetamide]
GZXSPNTWOSSNMG-UHFFFAOYSA-N	6ND	5-({[(3,4-difluorophenyl)sulfonyl]amino}methyl)-6-methyl-n-[(2-methyl-1,3-thiazol-5-yl)methyl]pyrazine-2-carboxamide
AXGMUNPLTDCCLX-UYTYNIKBSA-N	6NE	(1s)-1,5-anhydro-1-[5-(naphthalen-2-yl)-1h-imidazol-2-yl]-d-glucitol
PAVOZTULRSGNJC-UHFFFAOYSA-N	6NF	n-(cyclohexylmethyl)-3-(4-pyridyl)-1h-pyrazol-5-amine
XXIXMIAOXNBYOY-HKUYNNGSSA-N	6NG	n~2~-[(r)-({[(benzyloxy)carbonyl]amino}methyl)(hydroxy)phosphoryl]-n-[(2r)-2,3,3-trimethylbutyl]-l-leucinamide
CKSIVONWCYACAP-UHFFFAOYSA-N	6NH	2-(4-hydroxy-5-phenyl-1h-pyrazol-3-yl)-1h-benzoimidazole-5-carboxamidine
ORZRMRUXSPNQQL-UHFFFAOYSA-N	6NI	6-nitroindazole
LXISBZUPGQAOKP-UHFFFAOYSA-N	6NJ	3-(2-phenylethyl)-1h-indazole
IYAYDNORGNGYOF-IZZDOVSWSA-N	6NL	(2e)-3-(3-hydroxy-4-methoxyphenyl)-1-(7-methoxy-2h-1,3-benzodioxol-5-yl)-2-methylprop-2-en-1-one
UZOPNNYVHHABCA-UHFFFAOYSA-N	6NM	4-[5-[3-(trifluoromethyl)phenyl]-1h-pyrazol-4-yl]pyridine
BHKZMZPMRWFXJX-AEFFLSMTSA-N	6NN	p-((((benzyloxy)carbonyl)amino)methyl)-n-((s)-4-methyl-1-(((r)-2-methylbutyl)amino)-1-oxopentan- 2-yl)phosphonamidic acid
XIRGHRXBGGPPKY-GMJOKQQKSA-N	6NO	avilamycin
WFSFNKVFXLIZIY-MHZLTWQESA-N	6NP	6((s)-3-benzylpiperazin-1-yl)-3-(naphthalen-2-yl)-4-(pyridin-4-yl)pyrazine
GLCRVGHVCJLAHS-QYYRPYCUSA-N	6NQ	2'-bromo-2'-deoxyadenosine 5'-[beta,gamma-imide]triphosphoric acid
XLTWYAYAFLGUEQ-OPYVMVOTSA-N	6NR	(2~{s})-2-azanyl-4-[[(2~{s},3~{s},4~{r},5~{r})-5-(4-azanyl-5-cyano-pyrrolo[2,3-d]pyrimidin-7-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylsulfanyl]butanoic acid
KLWQRKNCYXQRGD-CYBMUJFWSA-N	6NS	(3~{r})-3-[[5-fluoranyl-2-(5-fluoranyl-1~{h}-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-4-yl]amino]-4,4-dimethyl-pentanoic acid
AOCDQWRMYHJTMY-UHFFFAOYSA-N	6NT	6-nitrobenzotriazole
RLIQDSPMEVUJOV-YRIWBWMDSA-N	6NV	~{n}-[(2~{r})-1-[[(2~{s})-3-(4-methoxyphenyl)-1-[[(2~{s},3~{s},4~{r})-4-methyl-3,5-bis(oxidanyl)-1-phenyl-pentan-2-yl]amino]-1-oxidanylidene-propan-2-yl]amino]-1-oxidanylidene-propan-2-yl]-1-methyl-5~{h}-indene-2-carboxamide
OXNLMRLCWQEYRW-IOSLPCCCSA-N	6NW	2'-o-methyl-5'-o-thiophosphonoadenosine
YKLDLMXTBHWMPV-UHFFFAOYSA-N	6NX	1-cyclohexyl-3-methyl-urea
YIOUWEBZKIOOOI-NSHDSACASA-N	6NY	3-{2-(hydroxyamino)-5-[(1s)-1-hydroxyethyl]phenoxy}-n,n-dimethylbenzamide
VGWMLHHFTHSIBB-UHFFFAOYSA-N	6NZ	5-cyclohexyl-3-propyl-1h-pyridin-2-one
VPJMTYLCIKLAAU-UHFFFAOYSA-M	6O0	(1-butyl-3-methyl-1,3-dihydro-2h-imidazol-2-ylidene)(chloro)gold
UPADRKHAIMTUCC-PPTKMMIPSA-N	6O1	evernimicin
YOCFRXSVLBRCJU-UHFFFAOYSA-N	6O3	{[6-(4-methylphenyl)thieno[2,3-d]pyrimidin-5-yl]methyl}phosphonic acid
XLTJXJJMUFDQEZ-UHFFFAOYSA-N	6O5	3-(furan-2-yl)propanoic acid
HDFPUIGVWMMVMM-CPYVCCANSA-N	6O6	plicamycin, mithramycin analogue mtm sa-trp
WHRHJGQUYQCUGP-NIMSAUJISA-N	6O7	plicamycin, mithramycin analogue mtm sa-phe 
IZTOQGOABQJQQN-KRWDZBQOSA-O	6O8	(4r,7s)-4-hydroxy-n,n,n-trimethyl-4,9-dioxo-7-[(pentanoyloxy)methyl]-3,5,8-trioxa-4lambda~5~-phosphatetradecan-1-aminium
PLBNSCVUDWCBFD-NSHDSACASA-N	6O9	(2s)-2-(acetyloxy)-3-{[(r)-(2-aminoethoxy)(hydroxy)phosphoryl]oxy}propyl pentanoate
YRYDCWGBHNTXLE-WFTYEQLWSA-N	6OA	(2z,4e)-2,6-dihydroxyhexa-2,4-dienoic acid
OJFOOCZBVPQYRS-PSDPTOBYSA-N	6OB	(8e,10s,12z)-10-hydroxy-6-oxooctadeca-8,12-dienoic acid
MLHUENSFQCPBQH-ZBKJIUGYSA-N	6OC	(8r,9z,12z)-8-hydroxy-6-oxooctadeca-9,12-dienoic acid
QCGTZPZKJPTAEP-NRNIAZNESA-N	6OD	(2e,4e)-2-amino-6-oxohexa-2,4-dienoic acid
PELYUHWUVHDSSU-HNNXBMFYSA-N	6OE	(2s)-3-{[(s)-(2-aminoethoxy)(hydroxy)phosphoryl]oxy}-2-(hexanoyloxy)propyl hexanoate
GFRAHVJOXXMIDI-RRKCRQDMSA-N	6OG	6-o-methyl guanosine-5'-monophosphate
KGLCZTRXNNGESL-NRNIAZNESA-N	6OH	(2e,4e)-2-hydroxy-6-oxohexa-2,4-dienoic acid
MYIBLDZPAOEFTB-UHFFFAOYSA-N	6OJ	7,8-bis(chloranyl)-9-methyl-3,4-dihydro-2h-pyrido[3,4-b]indol-1-one
RGCYFFRYXJGABS-UHFFFAOYSA-N	6OK	6-amino-2-({2-[4-(2-hydroxyethyl)phenyl]ethyl}amino)-1,7-dihydro-8h-imidazo[4,5-g]quinazolin-8-one
FLXLJBCLEUWWCG-DJWKRKHSSA-N	6OM	(2z)-2-methylbut-2-ene-1,4-diol
JNSLBXJNVHYNNW-CXNSMIOJSA-N	6ON	2-[(9~{s})-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.0^{2,6}]trideca-2(6),4,7,10,12-pentaen-9-yl]-~{n}-[2-[2-[2-[2-[2-[2-[2-[2-[2-[(9~{s})-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.0^{2,6}]trideca-2(6),4,7,10,12-pentaen-9-yl]ethanoylamino]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl]ethanamide
JKIZWHJBBPPNBB-ZOQUXTDFSA-N	6OO	2'-o-methyl-5'-o-thiophosphonocytidine
MIWMWNWNEZHLGC-PSDJLLRUSA-N	6OP	1-[(5e)-5,6-dideoxy-2-o-(2-methoxyethyl)-6-phosphono-beta-d-ribo-hex-5-enofuranosyl]-5-methylpyrimidine-2,4(1h,3h)-dione
LWNVLMFFYVOFEQ-UHFFFAOYSA-N	6OQ	2-ethyl-1,2-dihydro-1,2-azaborinine
PGDCAFRJYQICAY-UHFFFAOYSA-N	6OR	3,5-dichloro-4-hydroxybenzene-1-sulfonic acid
XUGWUUDOWNZAGW-VDAHYXPESA-N	6OS	neplanocin-a
AHNOVNYOUPQVRX-UHFFFAOYSA-N	6OT	3,5-dichlorobenzene-1-sulfonamide
ZNRUSTFXUSPVPD-UHFFFAOYSA-N	6OW	2,7-dimethyl-3-(1h-pyrazol-5-yl)imidazo[1,2-a]pyridine
HNAJDMYOTDNOBK-UHFFFAOYSA-N	6OX	2-[2-[2-[2,6-bis(chloranyl)phenyl]propan-2-yl]-1-[2-fluoranyl-4-[3-fluoranyl-4-(hydroxymethyl)-5-methylsulfonyl-phenyl]phenyl]imidazol-4-yl]propan-2-ol
VXYKULSXGSKGQQ-OSKYGDQXSA-N	6OY	ethyl (4r)-4-[[(2s,4s)-1-[(2s)-3-methyl-2-[(5-methyl-1,2-oxazol-3-yl)carbonylamino]butanoyl]-4-phenyl-pyrrolidin-2-yl]carbonylamino]-5-[(3s)-2-oxidanylidenepyrrolidin-3-yl]pentanoate
FAEGQXWWILYIST-UHFFFAOYSA-N	6OZ	2,4-dimethyl-5-[3-(2-phenylpropan-2-yl)-1h-pyrazol-5-yl]-1,3-thiazole
ZLBUFDZQBDNLRH-UHFFFAOYSA-N	6P0	5-[1-(4-methoxyphenyl)cyclopropyl]-1',3'-dimethyl-1'h,2h-3,4'-bipyrazole
ABGBHHDSOIOYML-SNVBAGLBSA-N	6P1	5-{3-[(1r)-1-(4-methoxyphenyl)ethyl]-1h-pyrazol-5-yl}-2,4-dimethyl-1,3-thiazole
ONGUVGXZNLWDHM-UHFFFAOYSA-N	6P2	5-{3-[1-(4-methoxyphenyl)cyclopropyl]-1h-pyrazol-5-yl}-2,4-dimethyl-1,3-thiazole
DLFLQXUYRFIFOK-UHFFFAOYSA-N	6P3	6-phenylpyridine-3-carboxylic acid
FLABUTFVIDAMFH-UHFFFAOYSA-N	6P4	2,6-dimethyl-3-(1h-pyrazol-5-yl)imidazo[1,2-a]pyridine
OWUYIJUAGSAJFL-UHFFFAOYSA-N	6P5	4-methyl-2-(4-methylphenyl)-5-(1h-pyrazol-5-yl)-1,3-thiazole
